DateTime,Weather,Precipitation,Temperature,ApparentTemperature,PrecipitationType
1/12/2015 16:00,Light Rain,0.0282,42.54,42.54,rain
1/12/2015 17:00,Overcast,0.0024,42.87,42.87,rain
1/12/2015 18:00,Overcast,0.0076,42.96,42.96,rain
1/12/2015 19:00,Overcast,0.0041,43.1,43.1,rain
1/12/2015 20:00,Overcast,0.0015,43.37,43.37,rain
1/12/2015 21:00,Overcast,0.0002,43.5,43.5,rain
1/12/2015 22:00,Overcast,0,43.67,43.67,none
1/12/2015 23:00,Overcast,0,43.81,43.81,none
1/13/2015 0:00,Overcast,0,43.82,43.82,none
1/13/2015 1:00,Overcast,0.0003,43.81,43.81,rain
1/13/2015 2:00,Overcast,0.0023,44.18,44.18,rain
1/13/2015 3:00,Overcast,0.0027,43.95,43.95,rain
1/13/2015 4:00,Overcast,0.0037,42.99,41.24,rain
1/13/2015 5:00,Overcast,0.0042,41.49,39.97,rain
1/13/2015 6:00,Overcast,0.0051,40.3,40.3,rain
1/13/2015 7:00,Overcast,0.0064,39.78,39.78,rain
1/13/2015 8:00,Overcast,0.0033,39.14,39.14,rain
1/13/2015 9:00,Overcast,0.0002,38.79,38.79,rain
1/13/2015 10:00,Overcast,0.0002,38.41,38.41,rain
1/13/2015 11:00,Overcast,0.0006,37.99,37.99,rain
1/13/2015 12:00,Overcast,0,37.81,37.81,none
1/13/2015 13:00,Overcast,0.0004,37.86,37.86,rain
1/13/2015 14:00,Overcast,0,37.74,37.74,none
1/13/2015 15:00,Overcast,0.0005,37.61,37.61,rain
1/13/2015 16:00,Overcast,0,37.28,37.28,none
1/13/2015 17:00,Overcast,0,36.69,36.69,none
1/13/2015 18:00,Overcast,0,36.26,36.26,none
1/13/2015 19:00,Overcast,0,35.92,35.92,none
1/13/2015 20:00,Overcast,0,35.19,35.19,none
1/13/2015 21:00,Overcast,0,34.67,34.67,none
1/13/2015 22:00,Overcast,0.0003,33.78,33.78,snow
1/13/2015 23:00,Overcast,0.0002,32.79,32.79,rain
1/14/2015 0:00,Overcast,0.0009,31.44,31.44,snow
1/14/2015 1:00,Overcast,0.0022,30.44,30.44,snow
1/14/2015 2:00,Overcast,0.0023,29.91,29.91,snow
1/14/2015 3:00,Overcast,0.0002,29.4,29.4,snow
1/14/2015 4:00,Overcast,0,29.01,29.01,none
