year,hours,precipitation,temp,days,Nights
2015,134.18194444444444,0.009090893704302277,37.01742768737219,35,13.16666667
2016,136.07777777777778,0.002409318659670899,40.71767634412245,46,10.33333333
2017,92.60277777777777,0.00034824794272625176,48.157295517634886,23,11.16666667
2018,66.54444444444444,0.0026557061557281494,45.38276485002835,42,15.83333333
2019,84.62361111111112,0.005420287876049738,40.24295916558699,34,15.83333333
